"SAMPLEID","STATIONID","COLLDATE","TAXAID","N_TAXA","FFG","HABIT","BCG_ATTR","TOLVAL","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","ORDER","FAMILY","SUBFAMILY","TRIBE","GENUS","INDEX_NAME","INDEX_CLASS","EXCLUDE"
"Samp9142","FW08CA061","9/12/2008","Dero",18,"","",5,NA,"Annelida","","Oligochaeta","","Haplotaxida","Naididae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Nais",26,"CG","BU",5,8,"Annelida","","Oligochaeta","Oligochaeta","Haplotaxida","Naididae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Pristina",7,"","",5,NA,"Annelida","","Oligochaeta","","Haplotaxida","Naididae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Tubificidae",6,"CG","BU",5,10,"Annelida","","Oligochaeta","Oligochaeta","Haplotaxida","Tubificidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Turbellaria",5,"PR","SP",4,4,"Platyhelminthes","","Turbellaria","","","","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Corbicula",14,"CF","BU",6,6,"Mollusca","","Bivalvia","Heterodonta","Veneroida","Corbiculidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Prostoma",1,"PR","",4,6,"Nemertea","","Enopla","","Hoplonemertea","Tetrastemmatidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Physa",15,"SC","",5,8,"Mollusca","","Gastropoda","","Basommatophora","Physidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Lebertia",1,"PR","",4,8,"Arthropoda","","Arachnida","Acarina","Acariformes","Lebertiidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Mideopsis",2,"","",4,NA,"Arthropoda","","Arachnida","","Trombidiformes","Mideopsidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Hyalella",9,"CG","SP",4,8,"Arthropoda","","Malacostraca","","Amphipoda","Hyalellidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Centroptilum",7,"CG","CN",NA,2,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Fallceon",2,"CG","SW",4,5,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Ablabesmyia",14,"PR","SP",5,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Tanypodinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Cricotopus/orthocladius",8,"SH","SP",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Cryptotendipes",2,"CG","BU",5,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Dicrotendipes",120,"CF","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Nanocladius",1,"CG","SP",4,3,"Arthropoda","","Insecta","","Diptera","Chironomidae","Orthocladiinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Paratendipes",1,"CG","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Procladius",2,"PR","SP",5,9,"Arthropoda","","Insecta","","Diptera","Chironomidae","Tanypodinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Tanytarsus",4,"CG","CB",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Argia",2,"PR","CN",4,7,"Arthropoda","","Insecta","","Odonata","Coenagrionidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Coenagrionidae",23,"PR","CB",4,9,"Arthropoda","","Insecta","","Odonata","Coenagrionidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",TRUE
"Samp9142","FW08CA061","9/12/2008","Dubiraphia",6,"CG","CN",4,4,"Arthropoda","","Insecta","","Coleoptera","Elmidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Hydroptila",2,"SC","CN",4,6,"Arthropoda","","Insecta","","Trichoptera","Hydroptilidae","Hydroptilinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Oxyethira",1,"","CN",4,3,"Arthropoda","","Insecta","","Trichoptera","Hydroptilidae","Hydroptilinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Nectopsyche",1,"SH","CB",4,3,"Arthropoda","","Insecta","","Trichoptera","Leptoceridae","Leptocerinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Cambarincolidae",1,"","",5,NA,"Annelida","","Oligochaeta","","Branchiobdellida","Cambarincolidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Ferrissia",1,"SC","CN",4,6,"Mollusca","","Gastropoda","","Basommatophora","Ancylidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Cambaridae",1,"CG","SP",NA,6,"Arthropoda","","Malacostraca","","Decapoda","Cambaridae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",TRUE
"Samp9143","FW08CO033","9/15/2009","Orconectes",1,"CG","SP",NA,6,"Arthropoda","","Malacostraca","","Decapoda","Cambaridae","Cambarinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Acentrella",2,"CG","SW",3,4,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Baetis",4,"CG","SW",4,5,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Fallceon",1,"CG","SW",4,5,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Cricotopus/orthocladius",3,"SH","SP",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Lopescladius",7,"SH","SP",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Orthocladiinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Microtendipes",1,"CG","CN",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Paralauterborniella",1,"CG","BU",4,5,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Polypedilum",1,"SH","CB",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Saetheria",1,"CG","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Stempellinella",1,"CG","CN",3,2,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Empididae",1,"PR","SP",4,6,"Arthropoda","","Insecta","","Diptera","Empididae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Glossosoma",4,"SC","CN",3,NA,"Arthropoda","","Insecta","","Trichoptera","Glossosomatidae","Glossosomatinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Ophiogomphus",2,"PR","BU",4,1,"Arthropoda","","Insecta","","Odonata","Gomphidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Heptageniidae",1,"SC","CN",3,4,"Arthropoda","","Insecta","","Ephemeroptera","Heptageniidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Cheumatopsyche",2,"CF","CN",4,5,"Arthropoda","","Insecta","","Trichoptera","Hydropsychidae","Hydropsychinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Hydropsyche",4,"CF","CN",4,4,"Arthropoda","","Insecta","","Trichoptera","Hydropsychidae","Hydropsychinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Hydroptila",1,"SC","CN",4,6,"Arthropoda","","Insecta","","Trichoptera","Hydroptilidae","Hydroptilinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Nectopsyche",2,"SH","CB",4,3,"Arthropoda","","Insecta","","Trichoptera","Leptoceridae","Leptocerinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Oecetis",1,"PR","CN",4,8,"Arthropoda","","Insecta","","Trichoptera","Leptoceridae","Leptocerinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Tricorythodes",28,"CG","SP",4,5,"Arthropoda","","Insecta","","Ephemeroptera","Leptohyphidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9143","FW08CO033","9/15/2009","Leptophlebia",1,"CG","SW",4,2,"Arthropoda","","Insecta","","Ephemeroptera","Leptophlebiidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9154","FW08NE021","8/14/2008","Lymnaeidae",1,"SC","CB",4,6,"Mollusca","","Gastropoda","","Basommatophora","Lymnaeidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9154","FW08NE021","8/14/2008","Cambaridae",7,"CG","SP",NA,6,"Arthropoda","","Malacostraca","","Decapoda","Cambaridae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9154","FW08NE021","8/14/2008","Hyalella",1,"CG","SP",4,8,"Arthropoda","","Malacostraca","","Amphipoda","Hyalellidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9154","FW08NE021","8/14/2008","Isonychia",8,"CF","SW",3,2,"Arthropoda","","Insecta","","Ephemeroptera","Isonychiidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9154","FW08NE021","8/14/2008","Tricorythodes",4,"CG","SP",4,5,"Arthropoda","","Insecta","","Ephemeroptera","Leptohyphidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9160","FW08NE046","6/8/2009","Physa",2,"SC","",5,8,"Mollusca","","Gastropoda","","Basommatophora","Physidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9160","FW08NE046","6/8/2009","Callibaetis",8,"CG","SW",5,9,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9160","FW08NE046","6/8/2009","Ceratopogoninae",1,"PR","BU",4,6,"Arthropoda","","Insecta","","Diptera","Ceratopogonidae","Ceratopogoninae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9160","FW08NE046","6/8/2009","Chironomus",8,"CG","BU",5,10,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9160","FW08NE046","6/8/2009","Cladotanytarsus",1,"CF","CB",3,7,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9160","FW08NE046","6/8/2009","Cryptochironomus",1,"PR","SP",5,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9160","FW08NE046","6/8/2009","Dicrotendipes",1,"CF","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9160","FW08NE046","6/8/2009","Tropisternus",2,"CG","CB",5,5,"Arthropoda","","Insecta","","Coleoptera","Hydrophilidae","Hydrophilinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9162","FW08OK014","8/18/2008","Dasyhelea",1,"CG","SP",5,6,"Arthropoda","","Insecta","","Diptera","Ceratopogonidae","Dasyheleinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9162","FW08OK014","8/18/2008","Polypedilum",1,"SH","CB",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9162","FW08OK014","8/18/2008","Rheotanytarsus",1,"CG","CN",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9162","FW08OK014","8/18/2008","Saetheria",1,"CG","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9162","FW08OK014","8/18/2008","Dubiraphia",1,"CG","CN",4,4,"Arthropoda","","Insecta","","Coleoptera","Elmidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9162","FW08OK014","8/18/2008","Ephydridae",1,"CG","BU",5,6,"Arthropoda","","Insecta","","Diptera","Ephydridae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9162","FW08OK014","8/18/2008","Gomphidae",1,"PR","BU",4,1,"Arthropoda","","Insecta","","Odonata","Gomphidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",TRUE
"Samp9162","FW08OK014","8/18/2008","Progomphus",1,"PR","BU",4,3,"Arthropoda","","Insecta","","Odonata","Gomphidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9162","FW08OK014","8/18/2008","Nectopsyche",1,"SH","CB",4,3,"Arthropoda","","Insecta","","Trichoptera","Leptoceridae","Leptocerinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9163","FW08OK017","6/22/2009","Corbicula",1,"CF","BU",6,6,"Mollusca","","Bivalvia","Heterodonta","Veneroida","Corbiculidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9163","FW08OK017","6/22/2009","Cercobrachys",6,"","",4,NA,"Arthropoda","","Insecta","","Ephemeroptera","Caenidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9163","FW08OK017","6/22/2009","Gillotia",3,"","BU",NA,NA,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9163","FW08OK017","6/22/2009","Procladius",1,"PR","SP",5,9,"Arthropoda","","Insecta","","Diptera","Chironomidae","Tanypodinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9163","FW08OK017","6/22/2009","Progomphus",1,"PR","BU",4,3,"Arthropoda","","Insecta","","Odonata","Gomphidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9163","FW08OK017","6/22/2009","Homoeoneuria",1,"CF;CG","BU",2,2,"Arthropoda","","Insecta","","Ephemeroptera","Oligoneuriidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Procloeon",1,"CG","SW",NA,9,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Cercobrachys",1,"","",4,NA,"Arthropoda","","Insecta","","Ephemeroptera","Caenidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Dasyhelea",1,"CG","SP",5,6,"Arthropoda","","Insecta","","Diptera","Ceratopogonidae","Dasyheleinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Chironomidae",2,"CG","BU",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",TRUE
"Samp9167","FW08OK027","8/17/2009","Cladotanytarsus",1,"CF","CB",3,7,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Cryptochironomus",1,"PR","SP",5,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Lopescladius",285,"SH","SP",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Orthocladiinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Paratendipes",2,"CG","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Saetheria",2,"CG","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Dolichopodidae",3,"PR","SP",NA,4,"Arthropoda","","Insecta","","Diptera","Dolichopodidae","Dolichopodinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9167","FW08OK027","8/17/2009","Progomphus",1,"PR","BU",4,3,"Arthropoda","","Insecta","","Odonata","Gomphidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Pisidiidae",10,"CF","",4,6,"Mollusca","","Bivalvia","","Veneroida","Pisidiidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",TRUE
"Samp9169","FW08OK036","6/23/2009","Sphaerium",1,"CF;CG","BU",NA,6,"Mollusca","","Bivalvia","","Veneroida","Pisidiidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Hyalella",14,"CG","SP",4,8,"Arthropoda","","Malacostraca","","Amphipoda","Hyalellidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Baetidae",1,"CG","SW",4,4,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",TRUE
"Samp9169","FW08OK036","6/23/2009","Fallceon",4,"CG","SW",4,5,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Paracloeodes",9,"SC","SW",4,6,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Caenis",114,"CG","SP",4,7,"Arthropoda","","Insecta","","Ephemeroptera","Caenidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Cercobrachys",10,"","",4,NA,"Arthropoda","","Insecta","","Ephemeroptera","Caenidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Calopterygidae",1,"PR","CB",4,5,"Arthropoda","","Insecta","","Odonata","Calopterygidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",TRUE
"Samp9169","FW08OK036","6/23/2009","Hetaerina",2,"PR","CB",4,6,"Arthropoda","","Insecta","","Odonata","Calopterygidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Ceratopogonidae",1,"PR","SP",4,6,"Arthropoda","","Insecta","","Diptera","Ceratopogonidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Cryptochironomus",1,"PR","SP",5,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Dicrotendipes",1,"CF","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Labrundinia",1,"PR","SP",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Tanypodinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Nanocladius",1,"CG","SP",4,3,"Arthropoda","","Insecta","","Diptera","Chironomidae","Orthocladiinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Pentaneura",4,"PR","SP",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Tanypodinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Polypedilum",8,"SH","CB",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Rheotanytarsus",4,"CG","CN",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Saetheria",2,"CG","BU",4,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Tanytarsus",17,"CG","CB",4,6,"Arthropoda","","Insecta","","Diptera","Chironomidae","Chironominae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9169","FW08OK036","6/23/2009","Thienemannimyia genus gr.",5,"","",4,NA,"Arthropoda","","Insecta","","Diptera","Chironomidae","Tanypodinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
